name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210041737797120,33:33:00:00:00:02,00:00:00:00:00:05,ff02::2,ipv6,fe80::200:ff:fe00:5,16,icmpv6,0000000000000002
blocked,1653210041739668992,33:33:00:00:00:02,00:00:00:00:00:05,ff02::2,ipv6,fe80::200:ff:fe00:5,16,icmpv6,0000000000000001
blocked,1653210042249166080,33:33:00:00:00:02,8e:4b:89:d9:68:50,ff02::2,ipv6,fe80::8c4b:89ff:fed9:6850,16,icmpv6,0000000000000002
blocked,1653210042250031104,33:33:00:00:00:02,8e:4b:89:d9:68:50,ff02::2,ipv6,fe80::8c4b:89ff:fed9:6850,16,icmpv6,0000000000000001
blocked,1653210042505427968,33:33:00:00:00:02,76:bf:bd:93:0f:c2,ff02::2,ipv6,fe80::74bf:bdff:fe93:fc2,16,icmpv6,0000000000000001
blocked,1653210043017241856,33:33:00:00:00:02,00:00:00:00:00:03,ff02::2,ipv6,fe80::200:ff:fe00:3,16,icmpv6,0000000000000001
blocked,1653210043018738944,33:33:00:00:00:02,00:00:00:00:00:03,ff02::2,ipv6,fe80::200:ff:fe00:3,16,icmpv6,0000000000000002
blocked,1653210043529490944,33:33:00:00:00:02,00:00:00:00:00:02,ff02::2,ipv6,fe80::200:ff:fe00:2,16,icmpv6,0000000000000001
blocked,1653210043530695936,33:33:00:00:00:02,00:00:00:00:00:02,ff02::2,ipv6,fe80::200:ff:fe00:2,16,icmpv6,0000000000000002
blocked,1653210045325318144,33:33:00:00:00:02,00:00:00:00:00:04,ff02::2,ipv6,fe80::200:ff:fe00:4,16,icmpv6,0000000000000002
blocked,1653210045326562048,33:33:00:00:00:02,00:00:00:00:00:04,ff02::2,ipv6,fe80::200:ff:fe00:4,16,icmpv6,0000000000000001
blocked,1653210046447264000,33:33:00:00:00:fb,76:bf:bd:93:0f:c2,ff02::fb,ipv6,fe80::74bf:bdff:fe93:fc2,53,udp,0000000000000001
blocked,1653210046473742080,33:33:00:00:00:fb,de:a9:cf:53:9e:fc,ff02::fb,ipv6,fe80::dca9:cfff:fe53:9efc,53,udp,0000000000000002
blocked,1653210047370050048,33:33:00:00:00:02,de:a9:cf:53:9e:fc,ff02::2,ipv6,fe80::dca9:cfff:fe53:9efc,16,icmpv6,0000000000000002
blocked,1653210049421744128,33:33:00:00:00:02,00:00:00:00:00:01,ff02::2,ipv6,fe80::200:ff:fe00:1,16,icmpv6,0000000000000001
blocked,1653210049423149056,33:33:00:00:00:02,00:00:00:00:00:01,ff02::2,ipv6,fe80::200:ff:fe00:1,16,icmpv6,0000000000000002
blocked,1653210056047616000,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210060069516800,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210064094275840,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210068117750016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210072142732032,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210074155744000,33:33:00:00:00:02,00:00:00:00:00:05,ff02::2,ipv6,fe80::200:ff:fe00:5,16,icmpv6,0000000000000002
blocked,1653210078179286016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210080191471104,33:33:00:00:00:02,8e:4b:89:d9:68:50,ff02::2,ipv6,fe80::8c4b:89ff:fed9:6850,16,icmpv6,0000000000000002
blocked,1653210084215502080,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210086225889024,33:33:00:00:00:fb,de:a9:cf:53:9e:fc,ff02::fb,ipv6,fe80::dca9:cfff:fe53:9efc,53,udp,0000000000000002
blocked,1653210092265374976,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210096290905856,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210100315677952,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210104340936960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210108364259072,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210112389182976,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210116414969856,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210120435729920,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210124460279040,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210128485270016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210132509270016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210136533224960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210140557442816,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210144580276992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210148603720960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210152628120832,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210156653084928,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210160676291840,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210164700984832,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210170736531968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,10.0.0.3,1428,icmp,0000000000000001
blocked,1653210253203424000,33:33:00:00:00:02,00:00:00:00:00:03,ff02::2,ipv6,fe80::200:ff:fe00:3,16,icmpv6,0000000000000001
blocked,1653210261249778944,33:33:00:00:00:02,76:bf:bd:93:0f:c2,ff02::2,ipv6,fe80::74bf:bdff:fe93:fc2,16,icmpv6,0000000000000001
blocked,1653210265274373120,33:33:00:00:00:02,00:00:00:00:00:02,ff02::2,ipv6,fe80::200:ff:fe00:2,16,icmpv6,0000000000000001
blocked,1653210839949778944,33:33:00:00:00:02,00:00:00:00:00:05,ff02::2,ipv6,fe80::200:ff:fe00:5,16,icmpv6,0000000000000002
blocked,1653210839951436032,33:33:00:00:00:02,00:00:00:00:00:05,ff02::2,ipv6,fe80::200:ff:fe00:5,16,icmpv6,0000000000000001
blocked,1653210840205442816,33:33:00:00:00:02,00:00:00:00:00:04,ff02::2,ipv6,fe80::200:ff:fe00:4,16,icmpv6,0000000000000002
blocked,1653210840206962944,33:33:00:00:00:02,00:00:00:00:00:04,ff02::2,ipv6,fe80::200:ff:fe00:4,16,icmpv6,0000000000000001
